Seed,Starting Fate Die,Frequency,Fated Age,Base Body Resist,CLT AUG,CEL AUG,CON AUG,FOC AUG,FLO AUG,WIL AUG,WIS AUG,WIT AUG,Skills,Nectars,Thorns,DESCRIPTION,Attributes KV,Frequency KV,Body Resist KV,Fate Die KV,Nectar/Thorn KV,TOTAL SEED KV
Human,6,40,80,15,5,5,5,7,5,13,5,5,None,Ambitious,Bounded Potential,"Humans are diverse and adaptable, originating from countless worlds across fantasy and sci-fi civilizations. Highly versatile and resourceful.",50,40,30,10,5,135
Altered Human,6,70,90,15,5,5,5,5,7,13,5,5,None,May purchase Nectars with starting frequency,May choose Thorns to increase Frequency,Infinite variations/mutations of humans for those who want to be different than baseline.,50,70,30,10,50,210
Elven,4,30,500,13,5,12,8,6,14,5,13,6,None,Dark Sight,Long Lifespan Frailty,"Graceful and long-lived, with enhanced magical affinity but reduced technological integration.",69,30,26,5,5,135
Dwarven,6,30,350,18,12,5,12,6,3,8,5,8,None,Dark Sight,Technological Dependency,Hardy mountain dwellers with superior crafting abilities and enhanced durability.,59,30,36,10,5,140
Neo-Human,8,20,200,15,0,0,0,0,0,0,0,0,None,"Machine Interfacing, Strange Vibrations",Tech Addiction,Post-human evolved beings with advanced technological integration but reduced baseline attributes.,0,20,30,20,-10,60
Cambion,6,40,150,16,8,10,5,5,5,10,5,5,None,Demonic Heritage,Dual Nature,Half-demon hybrids with enhanced physical capabilities and inherent magical resistance.,53,40,32,10,0,135
Argentum Sanguis,8,40,800,12,2,2,2,4,4,6,5,4,None,Make One Custom,Ancient Bloodline Curse,Ancient bloodline with powerful heritage but requiring custom balancing for each character.,29,40,24,20,0,113
Orcish,6,50,60,20,15,8,15,3,3,12,3,3,Intimidation,Berserker Rage,Social Outcast,Brutal warrior-nomads with immense physical prowess but limited magical and technological aptitude.,62,50,40,10,0,162
Halfling,6,60,100,12,3,10,3,8,8,15,8,5,Stealth,Lucky,Small Stature,Small folk with natural stealth abilities and remarkable luck in dire situations.,60,60,24,10,10,164
Goblinoid,4,45,50,14,8,12,8,5,4,6,4,8,Scavenging,Pack Mentality,Compulsive Behavior,Scrappy survivors who excel in groups and make the most of discarded resources.,55,45,28,5,0,133
Tiefling,6,35,120,16,6,6,6,8,8,8,6,7,None,Infernal Resilience,Cursed Bloodline,Planetouched beings with devilish heritage granting supernatural resilience and cunning.,55,35,32,10,5,137
Fey-Touched,4,25,300,11,3,15,4,12,15,10,12,4,None,Otherworldly Grace,Reality Disconnect,"Mortals touched by fey magic, existing partially between worlds with enhanced magical sensitivity.",75,25,22,5,15,142
Astral Drifter,8,30,400,13,4,8,6,10,6,8,8,10,Navigation,Void Walking,Temporal Displacement,"Beings who have spent eons drifting through astral space, gaining cosmic perspective but losing grounding.",60,30,26,20,10,146
Crystalline,6,20,1000,25,6,3,18,8,3,12,6,3,None,Energy Absorption,Brittle Form,Silicon-based lifeforms with incredible durability but limited flexibility and mobility.,59,20,50,10,5,144
Shapeshifter,6,45,100,14,8,8,8,6,6,8,8,8,Deception,Perfect Mimicry,Identity Crisis,Natural polymorphs who can alter their appearance but struggle with consistent identity.,60,45,28,10,15,158
Undying,4,15,999999,22,5,5,12,8,5,15,10,5,None,Deathless Vigor,Unholy Aura,Beings who have transcended death through dark pacts or ancient curses.,65,15,44,5,20,149
Synthetic,8,35,500,18,8,8,12,12,4,6,4,12,Technical Skills,Logical Processing,Emotional Limitations,Artificial beings created with advanced technology but limited emotional range.,66,35,36,20,0,157
Void-Born,4,20,250,19,6,6,10,9,9,12,9,6,None,Entropy Resistance,Existential Dread,"Entities born in the spaces between realities, naturally resistant to cosmic forces.",67,20,38,5,25,155
